,Average of perc_forest,Average of perc_bushf,Average of perc_ripar,Average of perc_bamb,Average of perc_uplf,Average of perc_oth,,
Aquatic plants,9.090909091,9.090909091,50,0,0,31.81818182,,
Bamboo,47.1229692,23.02787906,14.65958069,14.4181751,0.057110223,0.714285714,,
Bees,72.75641026,16.50641026,2.724358974,1.923076923,0.961538462,5.128205128,,
Cardamom,67.11111111,12.88888889,19.33333333,0,0,0.666666667,,
Fern,22.22222222,38.88888889,30.55555556,0,5.555555556,2.777777778,,
Ginger,87.5,12.5,0,0,0,0,,
Grape,100,0,0,0,0,0,,
Grass,17.65676568,73.26732673,4.785478548,0,0,4.290429043,,
Herbs,41.93217149,27.34130703,20.80276253,0,3.868433972,6.055324973,,
Hornet,70.94009267,21.58127485,3.632478632,0,0,3.846153846,,
Legume,63.11965812,22.47863248,9.871794872,0.256410256,0,4.273504274,,
Liana,68.75,11.80555556,11.80555556,0,0,7.638888889,,
Mushroom/Funghi,53.73465984,29.78983988,2.019410029,3.051610868,1.745065908,9.659413479,,
Nettles,0,33.33333333,33.33333333,0,0,33.33333333,,
Orchids,81.5562938,11.20404057,1.971326165,0,1.075268817,4.193070653,,
Palm,70.56338028,14.43661972,10.5399061,0,0.704225352,3.755868545,,
Peas,75.5721393,11.3681592,10.32338308,0,0,2.736318408,,
Rattan,66.21621622,16.89189189,16.89189189,0,0,0,,
Rhizomes,62.5,16.66666667,12.5,0,0,8.333333333,,
Shrubs,59.84375,22.31770833,16.27604167,0.520833333,0.520833333,0.520833333,,
Tree/Shrub,45.16659351,35.3769917,16.1111767,0.12987013,0.113636364,3.101731602,,
Trees,67.59087899,18.72195136,10.14689049,0.244200244,0.137362637,3.158716284,,
Vines,57.30826287,23.16310636,13.75834446,1.068090788,0.46728972,4.2349058,,
Worms,31.45833333,3.125,8.75,52.08333333,0,4.583333333,,
,,,,,,,,
,1339.712818,505.7723818,320.7926026,73.69560098,15.20632034,144.8202762,,2400
,55.82,21.07,13.37,3.07,0.63,6.03,,
